name	path	category	risk	executable	description
install_strategist_timer_optional.sh	/home/schattenmacher/openclaw_training/scripts/install_strategist_timer_optional.sh	core_status,agent_runtime,career,rag_lora_llm,setup_install,high_review	high-review	yes	"set -Eeuo pipefail / SERVICE_DIR=""$HOME/.config/systemd/user"""
shadowmaker_stack_start.sh	/home/schattenmacher/openclaw_training/scripts/shadowmaker_stack_start.sh	core_status,agent_runtime,discord_telegram,rag_lora_llm,high_review	high-review	yes	"set -Eeuo pipefail / echo ""== START SHADOWMAKER STACK =="""
install_steward_timer_optional.sh	/home/schattenmacher/openclaw_training/scripts/install_steward_timer_optional.sh	core_status,agent_runtime,finance_housing,rag_lora_llm,setup_install,high_review	high-review	yes	"set -Eeuo pipefail / SERVICE_DIR=""$HOME/.config/systemd/user"""
install_courier_timer_optional.sh	/home/schattenmacher/openclaw_training/scripts/install_courier_timer_optional.sh	core_status,agent_runtime,mail_courier,rag_lora_llm,setup_install,high_review	high-review	yes	"set -Eeuo pipefail / SERVICE_DIR=""$HOME/.config/systemd/user"""
install_linky_timer_optional.sh	/home/schattenmacher/openclaw_training/scripts/install_linky_timer_optional.sh	core_status,agent_runtime,prompt_code,rag_lora_llm,setup_install,high_review	high-review	yes	"set -Eeuo pipefail / SERVICE_DIR=""$HOME/.config/systemd/user"""
install_winky_timer_optional.sh	/home/schattenmacher/openclaw_training/scripts/install_winky_timer_optional.sh	core_status,agent_runtime,rag_lora_llm,setup_install,high_review	high-review	yes	"set -Eeuo pipefail / SERVICE_DIR=""$HOME/.config/systemd/user"""
fix_openclaw_gateway_bind_localhost_20260501_234103.txt	/home/schattenmacher/openclaw_training/reports/fix_openclaw_gateway_bind_localhost_20260501_234103.txt	core_status,memory_docs,agent_runtime,career,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install,high_review	high-review	no	============================================================ / FIX OPENCLAW GATEWAY BIND LOCALHOST
install_mnemosyne_timer_optional.sh	/home/schattenmacher/openclaw_training/scripts/install_mnemosyne_timer_optional.sh	core_status,memory_docs,agent_runtime,rag_lora_llm,setup_install,high_review	high-review	yes	"set -Eeuo pipefail / SERVICE_DIR=""$HOME/.config/systemd/user"""
fix_openclaw_loopback_proxy_20260501_234202.txt	/home/schattenmacher/openclaw_training/reports/fix_openclaw_loopback_proxy_20260501_234202.txt	core_status,memory_docs,career,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install,high_review	high-review	no	============================================================ / FIX OPENCLAW LOOPBACK PROXY
fix_freeze_report_patch_crashbandicot_20260502_010431.txt	/home/schattenmacher/openclaw_training/reports/fix_freeze_report_patch_crashbandicot_20260502_010431.txt	core_status,memory_docs,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install,high_review	high-review	no	============================================================ / FIX /freeze_report PATCH CRASHBANDICOT
repair_phase3_deep_security_allinone_20260502_070753.txt	/home/schattenmacher/openclaw_training/reports/repair_phase3_deep_security_allinone_20260502_070753.txt	core_status,memory_docs,mission_control,agent_runtime,ihk_mfp,career,finance_housing,prompt_code,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install,high_review	high-review	no	============================================================ / REPAIR PHASE 3 DEEP SECURITY CHECK
setup_phase5_linky_builder_agent_allinone_20260502_081321.txt	/home/schattenmacher/openclaw_training/reports/setup_phase5_linky_builder_agent_allinone_20260502_081321.txt	core_status,memory_docs,mission_control,agent_runtime,ihk_mfp,career,finance_housing,prompt_code,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install,high_review	high-review	no	============================================================ / SETUP PHASE 5 LINKY BUILDER / PROMPT-TO-CODE AGENT
setup_phase5_multi_agent_winky_allinone_20260502_073235.txt	/home/schattenmacher/openclaw_training/reports/setup_phase5_multi_agent_winky_allinone_20260502_073235.txt	core_status,memory_docs,mission_control,agent_runtime,ihk_mfp,career,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install,high_review	high-review	no	============================================================ / SETUP PHASE 5 MULTI-AGENT CREW - WINKY FIRST
repair_mentor_today_var_safe_20260502_074730.txt	/home/schattenmacher/openclaw_training/reports/repair_mentor_today_var_safe_20260502_074730.txt	core_status,memory_docs,mission_control,agent_runtime,ihk_mfp,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install,high_review	high-review	no	============================================================ / REPAIR MENTOR TODAY VARIABLE SAFE
setup_phase5_mnemosyne_memory_agent_allinone_20260502_073747.txt	/home/schattenmacher/openclaw_training/reports/setup_phase5_mnemosyne_memory_agent_allinone_20260502_073747.txt	core_status,memory_docs,mission_control,agent_runtime,ihk_mfp,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install,high_review	high-review	no	============================================================ / SETUP PHASE 5 MNEMOSYNE MEMORY CURATOR AGENT
setup_phase6_courier_mail_briefing_allinone_20260502_094411.txt	/home/schattenmacher/openclaw_training/reports/setup_phase6_courier_mail_briefing_allinone_20260502_094411.txt	core_status,memory_docs,mission_control,agent_runtime,mail_courier,ihk_mfp,career,finance_housing,prompt_code,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install,high_review	high-review	no	============================================================ / SETUP PHASE 6 COURIER MAIL BRIEFING READ-ONLY
setup_phase5_steward_finance_housing_agent_allinone_20260502_080609.txt	/home/schattenmacher/openclaw_training/reports/setup_phase5_steward_finance_housing_agent_allinone_20260502_080609.txt	core_status,memory_docs,mission_control,agent_runtime,mail_courier,ihk_mfp,career,finance_housing,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install,high_review	high-review	no	============================================================ / SETUP PHASE 5 STEWARD FINANCE/HOUSING READ-ONLY AGENT
setup_phase5_strategist_career_agent_allinone_20260502_075509.txt	/home/schattenmacher/openclaw_training/reports/setup_phase5_strategist_career_agent_allinone_20260502_075509.txt	core_status,memory_docs,mission_control,agent_runtime,mail_courier,ihk_mfp,career,prompt_code,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install,high_review	high-review	no	============================================================ / SETUP PHASE 5 STRATEGIST CAREER AGENT
repair_mission_control_phase2_allinone_20260502_065313.txt	/home/schattenmacher/openclaw_training/reports/repair_mission_control_phase2_allinone_20260502_065313.txt	core_status,memory_docs,mission_control,agent_runtime,prompt_code,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install,high_review	high-review	no	============================================================ / REPAIR MISSION CONTROL PHASE 2
repair_mnemosyne_today_var_safe_20260502_073949.txt	/home/schattenmacher/openclaw_training/reports/repair_mnemosyne_today_var_safe_20260502_073949.txt	core_status,memory_docs,mission_control,agent_runtime,security,discord_telegram,rag_lora_llm,freeze_backup,repair_patch,setup_install,high_review	high-review	no	============================================================ / REPAIR MNEMOSYNE TODAY VARIABLE SAFE
